,0,1,2
0,86.24597967,49.82585136,298.2153985
1,87.36697209,50.82008359,328.9425485
2,87.94955771,49.84705473,303.4322411
3,86.94333483,49.9140013,303.2695766
4,86.19286244,50.08981778,303.2952165
5,89.0696003,49.72211361,303.4789334
6,90.92650872,49.54245602,308.9993404
7,82.87846028,49.51237268,278.1152743
8,97.15705478,60.81195009,260.1544693
9,91.7100826,57.28058334,270.9508306
10,81.73951469,55.60591417,263.9789845
11,86.13287476,51.19918842,295.6278695
12,81.26872011,51.15535333,296.7884871
13,76.23679926,51.10956302,298.0985695
14,71.22146977,50.4224122,300.9842534
15,85.9175166,47.88191774,302.2665977
16,85.84788586,47.24716967,303.5568728
17,85.69387824,46.71174862,304.8267008
18,115.4768656,66.22645981,329.3917636
19,105.8926676,50.28134923,312.9951424
20,99.27302798,49.5130269,308.1616895
21,92.69813083,49.353546,303.2973805
22,86.288569,49.64416324,297.987283
23,74.39845933,51.68645579,288.1143441
24,60.65177679,56.60552514,275.8084983
