-1.1809,-0.047602,-3.0591
-1.1807,-0.29111,3.1278
-1.1826,-0.25055,-3.1388
-1.1839,-0.16944,-3.1067
-1.1836,-0.12868,-3.0907
-1.1826,-0.088107,-3.0749
-1.1809,-0.047602,-3.0591
-1.1759,0.033609,-3.0274
-1.1633,0.16954,3.0295
-1.1577,0.1938,3.0871
-1.1477,0.24206,-3.0809
-1.177,-0.015808,-3.1404
-1.1786,-0.031684,-3.0997
-1.1809,-0.047602,-3.0591
-1.1876,-0.078997,-2.9776
-1.1918,-0.094325,-2.9365
-1.1966,-0.10974,-2.8955
-1.2022,-0.12482,-2.8544
-0.95395,-0.21524,-2.8473
-1.0503,-0.055726,-3.0605
-1.0938,-0.052928,-3.0599
-1.1375,-0.050225,-3.0596
-1.1809,-0.047602,-3.0591
-1.2681,-0.041981,-3.0588
-1.3123,0.024892,-2.9534
